,NU_INSCRICAO,NU_ANO,CO_MUNICIPIO_RESIDENCIA,NO_MUNICIPIO_RESIDENCIA,CO_UF_RESIDENCIA,SG_UF_RESIDENCIA,NU_IDADE,TP_SEXO,TP_ESTADO_CIVIL,TP_COR_RACA,TP_NACIONALIDADE,CO_MUNICIPIO_NASCIMENTO,NO_MUNICIPIO_NASCIMENTO,CO_UF_NASCIMENTO,SG_UF_NASCIMENTO,TP_ST_CONCLUSAO,TP_ANO_CONCLUIU,TP_ESCOLA,TP_ENSINO,IN_TREINEIRO,CO_ESCOLA,CO_MUNICIPIO_ESC,NO_MUNICIPIO_ESC,CO_UF_ESC,SG_UF_ESC,TP_DEPENDENCIA_ADM_ESC,TP_LOCALIZACAO_ESC,TP_SIT_FUNC_ESC,IN_BAIXA_VISAO,IN_CEGUEIRA,IN_SURDEZ,IN_DEFICIENCIA_AUDITIVA,IN_SURDO_CEGUEIRA,IN_DEFICIENCIA_FISICA,IN_DEFICIENCIA_MENTAL,IN_DEFICIT_ATENCAO,IN_DISLEXIA,IN_DISCALCULIA,IN_AUTISMO,IN_VISAO_MONOCULAR,IN_OUTRA_DEF,IN_GESTANTE,IN_LACTANTE,IN_IDOSO,IN_ESTUDA_CLASSE_HOSPITALAR,IN_SEM_RECURSO,IN_BRAILLE,IN_AMPLIADA_24,IN_AMPLIADA_18,IN_LEDOR,IN_ACESSO,IN_TRANSCRICAO,IN_LIBRAS,IN_LEITURA_LABIAL,IN_MESA_CADEIRA_RODAS,IN_MESA_CADEIRA_SEPARADA,IN_APOIO_PERNA,IN_GUIA_INTERPRETE,IN_COMPUTADOR,IN_CADEIRA_ESPECIAL,IN_CADEIRA_CANHOTO,IN_CADEIRA_ACOLCHOADA,IN_PROVA_DEITADO,IN_MOBILIARIO_OBESO,IN_LAMINA_OVERLAY,IN_PROTETOR_AURICULAR,IN_MEDIDOR_GLICOSE,IN_MAQUINA_BRAILE,IN_SOROBAN,IN_MARCA_PASSO,IN_SONDA,IN_MEDICAMENTOS,IN_SALA_INDIVIDUAL,IN_SALA_ESPECIAL,IN_SALA_ACOMPANHANTE,IN_MOBILIARIO_ESPECIFICO,IN_MATERIAL_ESPECIFICO,IN_NOME_SOCIAL,CO_MUNICIPIO_PROVA,NO_MUNICIPIO_PROVA,CO_UF_PROVA,SG_UF_PROVA,TP_PRESENCA_CN,TP_PRESENCA_CH,TP_PRESENCA_LC,TP_PRESENCA_MT,CO_PROVA_CN,CO_PROVA_CH,CO_PROVA_LC,CO_PROVA_MT,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,TX_RESPOSTAS_CN,TX_RESPOSTAS_CH,TX_RESPOSTAS_LC,TX_RESPOSTAS_MT,TP_LINGUA,TX_GABARITO_CN,TX_GABARITO_CH,TX_GABARITO_LC,TX_GABARITO_MT,TP_STATUS_REDACAO,NU_NOTA_COMP1,NU_NOTA_COMP2,NU_NOTA_COMP3,NU_NOTA_COMP4,NU_NOTA_COMP5,NU_NOTA_REDACAO,Q001,Q002,Q003,Q004,Q005,Q006,Q007,Q008,Q009,Q010,Q011,Q012,Q013,Q014,Q015,Q016,Q017,Q018,Q019,Q020,Q021,Q022,Q023,Q024,Q025,Q026,Q027,df_index
0,170003336736,2017,3503208,Araraquara,35,SP,29,F,0,1,1,3503208,Araraquara,35,SP,1,11,1,,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3503208,Araraquara,35,SP,1,1,1,1,393,398,401,406,445.4,589,621.5,465.5,BADDEABACDEEAABCDECDBADEADCDDEEDEBEDEADBECABA,EDDBCEBABCDADDBBCADEDCDAEDCCAEBAEBBEEBAECBEBC,DADCD99999ECDBDADDDCBDEABAEADBBACDBBECEDEBCAABDDEA,ACBACDCAABDCDEABEBBAECBDDAECAECCEABEBAADEBDDD,0,CCDACDEEAAEABCDAAECDCBADECDEEBDACBEDDBCBBEBAA,DAEBEABDBEDACDDECADBCCCAECDEECAEBDBDBBAECDAEB,DEDCDBEEDEECABAAEDDCBDEDBAEABBBDEDBBCCDAEBCAABDAED,EECDCCECBDBBDBAEBADBECBDDABDEDEAADCCDAEACBBAC,1,140,120,120,100,80,560,E,D,C,B,3,D,A,B,C,A,B,B,A,C,A,B,A,A,C,B,B,C,B,B,B,A,A,0
1000,170003333745,2017,5201108,Anápolis,52,GO,24,M,0,1,1,5201108,Anápolis,52,GO,1,7,1,,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5201108,Anápolis,52,GO,0,0,0,0,,,,,,,,,,,,,0,,,,,,,,,,,,H,D,C,B,2,C,A,B,B,A,A,B,B,B,A,A,A,A,A,A,A,C,A,B,B,A,A,1000
2000,170005039243,2017,3167103,Serro,31,MG,19,F,0,1,1,3167103,Serro,31,MG,1,2,1,,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3167103,Serro,31,MG,1,1,1,1,392,397,402,404,587.1,632.5,548.6,768.1,BABAACAAEEEADADCAEBDDADEDBCEAECBBBBECDAAACCAC,ACAECCBDECADBEABDCBEBEADBCCDDECEEDBEDBEDDBAEA,AEAEE99999ECBADEDEADCDBBCDBCCAADAAEACCAAADEDDCCEEB,CEEDEEBAABBBEABDAAECCBABBBBACEDCDBBDECBADDEEC,0,BCBBEBAAEDDCBDADEEBADECDCBCDAAEABCEEAAECDCCDA,ECAEBCDDECADBEABDDBDBDAEBCCCCDEAEDAEBBEDABAEC,DDCDEEDBEECEBADEDEABEDBBBDBCCABAAAABCBDAEDEDDBCDAE,CCECEECDADBBDBBDBAEBDDABECBDCCDEDBBACAEADAEAC,1,140,120,180,140,120,700,D,E,C,D,5,G,A,C,E,B,A,B,B,B,A,B,A,B,B,A,B,E,A,C,B,A,D,2000
3000,170003330426,2017,1501402,Belém,15,PA,24,M,1,3,1,1501402,Belém,15,PA,1,5,1,,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1501402,Belém,15,PA,0,1,1,0,,395,399,,,394.3,349.6,,,ABCABABABCDBDCBCECADBAABBCDDCBEDCBABCCBABCDDC,99999DCEAEEBCBAABECBBCDDDCABABBECBCAAAEDEACDAECBBC,,1,,CDDECADBEABDBEDAECAEBDAEBAEDBDBBAECDAEBCCCCDE,DDCDEEDBEEBDAEDAABCECDAEBADEDEDBBBDEABBCCABAAEDDCB,,1,100,120,100,80,40,440,B,E,B,D,6,C,A,C,C,A,B,B,A,A,A,A,A,A,B,A,A,D,B,B,B,A,A,3000
4000,170001667105,2017,2930105,Senhor do Bonfim,29,BA,23,M,0,2,1,2930105,Senhor do Bonfim,29,BA,1,5,1,,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2930105,Senhor do Bonfim,29,BA,1,1,1,1,393,395,399,406,379.5,443.3,512.8,401.2,BBADBADBCBCCBDEDAEBCDABDBEACCECBBACEDCBCAADEC,BEDEBABBCEBACABCCBAACBDCCBDCECCBBBDCBACAAECBE,EBDDA99999BDAEBCBADDBBAEAAABACCBBCDECDBBECCBADDBCD,AECBDBAACCBDEEADABBECABABDCCDBCBBDACBACACEBEA,0,CCDACDEEAAEABCDAAECDCBADECDEEBDACBEDDBCBBEBAA,CDDECADBEABDBEDAECAEBDAEBAEDBDBBAECDAEBCCCCDE,DDCDEEDBEEBDAEDAABCECDAEBADEDEDBBBDEABBCCABAAEDDCB,EECDCCECBDBBDBAEBADBECBDDABDEDEAADCCDAEACBBAC,1,120,120,120,120,100,580,A,C,C,B,4,C,A,B,C,A,A,B,A,A,A,B,A,A,B,B,A,C,A,B,B,A,A,4000
5000,170001662481,2017,2407104,Macaíba,24,RN,30,M,,3,1,2408102,Natal,24,RN,1,11,1,,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2407104,Macaíba,24,RN,1,1,1,1,394,395,399,405,430.5,496.5,492.6,465.5,DECECEBEEBEECDCDBDBAACAEACCEDDCEEBCDACBDCAECE,DBBEAEAEDBBDBAADDDDAEABBEAEEDDBBEECBABDCACDCC,ECADC99999ADBEDAAEDDABADCABBACEABBEECBBCDECAADDDAC,CBCAADCEEBBAAADACECDCBCABCBCEAEDCABAECDDBDBEC,0,EEAAECDCCDADAADECDCBCDAAEDEEBABCEDDCBEBAABCBB,CDDECADBEABDBEDAECAEBDAEBAEDBDBBAECDAEBCCCCDE,DDCDEEDBEEBDAEDAABCECDAEBADEDEDBBBDEABBCCABAAEDDCB,BBDBADBEECDCCECAEBBDDEDDCCBBACADAEACEADABDECB,1,100,40,40,80,40,300,F,F,D,D,8,G,A,B,D,B,B,B,A,A,A,A,A,A,B,A,B,E,A,B,B,A,B,5000
6000,170001674337,2017,5201405,Aparecida de Goiânia,52,GO,33,F,0,3,1,2305506,Iguatu,23,CE,1,11,1,,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5201405,Aparecida de Goiânia,52,GO,1,1,1,1,394,396,400,405,506.3,546.5,578.8,534.8,DAADEADBAEBCAECEDBDBBAAEEDDBEBAAECBCDAAEDCCBA,EACAEDBADBBBAEAABABEBEDECDBBDAAABCEEBADEEDDEA,99999BABDECCDBDEEDDBCAECEEAEAAADDDDABBAAEDCBEABBAD,AAEECACEECDCAAACDCCEDDADABABAECCBABBDEAAEDCAB,1,EEAAECDCCDADAADECDCBCDAAEDEEBABCEDDCBEBAABCBB,CDEAEECAEBDBDBBAECDAEBCCCDAEBEABDBEDAADBCDDEC,EDDCDBEEDECCEBDAEDAEDAABEDBBADEDEDDABAABBDCBEABBCC,BBDBADBEECDCCECAEBBDDEDDCCBBACADAEACEADABDECB,1,120,120,100,120,60,520,B,B,C,B,2,B,A,B,B,A,A,B,A,A,A,A,A,A,B,A,A,B,A,A,A,A,A,6000
7000,170001676824,2017,2609600,Olinda,26,PE,23,F,0,1,1,2609600,Olinda,26,PE,1,4,1,,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2611606,Recife,26,PE,0,0,0,0,,,,,,,,,,,,,0,,,,,,,,,,,,E,D,B,F,4,C,A,B,C,B,A,B,A,B,A,B,A,A,B,A,A,E,A,A,B,A,A,7000
8000,170003345700,2017,3552205,Sorocaba,35,SP,27,M,1,1,1,3530102,Mirandópolis,35,SP,1,10,1,,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3552205,Sorocaba,35,SP,1,1,1,1,394,397,402,405,473.8,590.3,588.3,708.9,CBECDCEBAABCDADEEBCEDDDDBBACCEBEBCADDEADCEBBB,CECEBBDAEAABECEBADBEAAECBDCDCCBAEDDEABEBADACC,99999EDBEECECADEACABEDBABDBCCABEAADACACBECADDBABED,CDEBDCAAEBCCEEBADCBDDEDBCEEADBCDAACDEACABAADB,1,EEAAECDCCDADAADECDCBCDAAEDEEBABCEDDCBEBAABCBB,ECAEBCDDECADBEABDDBDBDAEBCCCCDEAEDAEBBEDABAEC,DDCDEEDBEECEBADEDEABEDBBBDBCCABAAAABCBDAEDEDDBCDAE,BBDBADBEECDCCECAEBBDDEDDCCBBACADAEACEADABDECB,1,120,120,120,120,80,560,F,E,D,D,3,C,A,B,C,A,B,B,B,B,B,A,A,A,B,B,B,C,B,A,B,A,A,8000
9000,170001662542,2017,2610707,Paulista,26,PE,30,M,0,3,1,2602100,Bom Conselho,26,PE,1,11,1,,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2611606,Recife,26,PE,1,1,1,1,391,395,399,403,588.7,501.2,512.6,547,EEBBCADCBBCEDADBBABEBDCEAECDACABCBECABDBBEAEC,AAAAAAAAAAAAAAAAECCBDDCEABADBEBDBBADEABDCDCEC,99999EDACAEDBEDAABCEDDDEEADEDCACADCCCCCCCCCCCCCCCC,CBAEDCAABEBDDECACBABEDDDCCDCBABCDBBBEBDCDBEAC,1,DEEBDABCBBEDDCBABCADECEBAADAAECDCBCCDACDEEAAE,CDDECADBEABDBEDAECAEBDAEBAEDBDBBAECDAEBCCCCDE,DDCDEEDBEEBDAEDAABCECDAEBADEDEDBBBDEABBCCABAAEDDCB,ADBCCECBBDBAEBBDDDABDCCDEDECBEACDAEAABBACEECD,1,120,120,120,80,20,460,H,C,F,A,2,C,A,B,C,A,A,B,A,B,A,B,A,A,B,A,A,C,A,B,B,A,E,9000
